Image_Name,MSE,MAE,SSIM,PSNR
0126.png,0.004544005102040817,0.1316167091836735,0.9999961527060961,71.55641550535782
0127.png,0.363899075255102,0.6638432716836735,0.9993186854879946,51.08281274493949
0128.png,0.0677814094387755,0.420539700255102,0.999729576565697,59.50451437198191
0129.png,0.23493303571428573,0.7822863520408163,0.9993446780110471,53.26846021743925
0130.png,0.05510602678571429,0.27716438137755095,0.999946678256269,60.71881261895519
0131.png,0.2626355229591837,0.8157286352040816,0.9990484814147129,51.63444723663698
0132.png,0.04125478316326531,0.10216039540816325,0.9999783300341256,61.97606052079318
0133.png,0.11924027423469388,0.03342235331632653,0.9998648307972112,56.37416312710607
0134.png,0.07268415178571429,0.7169363839285714,0.9997196036611727,59.51640634222454
0135.png,0.5497050382653061,0.9353874362244898,0.9986093878505592,47.9412909317348
0136.png,0.06040736607142857,0.10281808035714286,0.9999277981375384,59.96776693454612
0137.png,0.24208785076530615,0.8995735012755103,0.998921848355963,53.460523051160266
0138.png,0.0040058992346938774,0.0065967793367346945,0.9999953141438285,72.10380340115746
0139.png,0.04272959183673469,0.15477519132653064,0.999914398854394,61.823516165155034
0140.png,0.17861128826530612,0.3455436862244898,0.9996694489259439,54.71789078564484
0141.png,0.1811423788265306,0.9061902104591838,0.9991836609132798,54.66808177875397
0142.png,0.2510562818877551,0.3294204400510204,0.99950742234391,53.185351169795794
0143.png,0.3419164540816327,0.8171635841836734,0.9989034568227638,49.53000302785233
0144.png,0.5693957270408163,1.0884088010204083,0.9984073817321483,44.67245148841105
0145.png,0.04978475765306123,0.20922353316326528,0.9999316203715514,59.99560217135587
0146.png,0.2753507653061224,0.5939094387755102,0.999481690550701,51.91688119953938
0147.png,0.28027343749999994,0.6417211415816327,0.9990753187654584,48.244540853042835
0148.png,0.0323860012755102,0.09090003188775511,0.9999814337978337,61.83771875372167
0149.png,0.3670878507653061,0.5663464604591836,0.9986779799122799,52.13524665416194
0150.png,0.052475286989795915,0.3676857461734694,0.9998291881240545,60.93125538430168
0151.png,0.4010483099489796,0.5190330038265306,0.9988320258525584,49.92713105089201
0152.png,0.010064572704081634,0.10134327168367348,0.9999899004087629,68.10285019417574
0153.png,0.29763233418367346,0.41633450255102045,0.9989670842359272,52.581591517277396
0154.png,0.3211694834183673,1.0943678252551021,0.9988292484695536,52.19132217339363
0155.png,0.2653061224489796,0.9331951530612245,0.9989266796590047,53.200065972136194
0156.png,0.21904894770408162,0.7086854272959184,0.9993534641382916,53.98332112208982
0157.png,0.324577487244898,2.2482063137755097,0.9979700188175962,53.017619670794176
0158.png,0.23399633290816327,0.4268375318877551,0.9990868265237167,53.904764422806615
0159.png,0.13506457270408162,0.5284398915816327,0.9994709228400412,56.8253891189621
0160.png,0.018215880102040814,0.053093112244897954,0.9999861647717705,65.52630201802404
0161.png,0.020129145408163265,0.09143813775510204,0.9999894782270823,65.09255023753593
0162.png,0.007413903061224489,0.16143176020408162,0.9999946338614267,69.43033457654339
0163.png,0.019212372448979588,0.13042091836734693,0.9999824366811195,65.29499363633406
0164.png,0.010503029336734693,0.03262515943877551,0.9999920224573461,67.9176578232369
0165.png,0.05389030612244899,0.03180803571428571,0.9999529863674161,59.42100493854292
0166.png,0.0036471619897959187,0.08177216198979591,0.9999959464423739,72.51125307805806
0167.png,0.019072863520408163,0.057298309948979595,0.9999858021358258,65.32664459759393
0168.png,0.008549904336734693,0.09723772321428571,0.9999912488569165,68.81119105351512
0169.png,0.024234693877551023,0.09661989795918367,0.9999816546645898,64.2864282259952
0170.png,0.028778698979591837,0.06907684948979592,0.9999822183203381,60.39360133459981
